,path,ans
0,00000,11
1,00001,11
2,00002,11
3,00003,11
4,00010,11
5,00011,11
6,00012,11
7,00013,11
8,00020,11
9,00021,11
10,00022,11
11,00023,11
12,00030,11
13,00031,11
14,00032,11
15,00033,3
16,00100,3
17,00101,3
18,00102,4
19,00103,3
20,00110,3
21,00111,11
22,00112,3
23,00113,5
24,00120,3
25,00121,3
26,00122,3
27,00123,7
28,00130,3
29,00131,5
30,00132,5
31,00133,5
32,00200,10
33,00201,2
34,00202,7
35,00203,3
36,00210,5
37,00211,3
38,00212,4
39,00213,1
40,00220,0
41,00221,5
42,00222,9
43,00223,9
44,00230,1
45,00231,9
46,00232,4
47,00233,9
48,00300,7
49,00301,5
50,00302,5
51,00303,1
52,00310,5
53,00311,9
54,00312,9
55,00313,1
56,00320,1
57,00321,9
58,00322,4
59,00323,4
60,00330,9
61,00331,9
62,00332,4
63,00333,9
64,01000,5
65,01001,3
66,01002,5
67,01003,3
68,01010,3
69,01011,7
70,01012,7
71,01013,10
72,01020,3
73,01021,7
74,01022,7
75,01023,7
76,01030,10
77,01031,10
78,01032,10
79,01033,10
80,01100,7
81,01101,10
82,01102,3
83,01103,1
84,01110,10
85,01111,10
86,01112,10
87,01113,10
88,01120,1
89,01121,10
90,01122,10
91,01123,10
92,01130,10
93,01131,10
94,01132,10
95,01133,10
96,01200,7
97,01201,7
98,01202,9
99,01203,9
100,01210,10
101,01211,10
102,01212,4
103,01213,7
104,01220,9
105,01221,9
106,01222,9
107,01223,9
108,01230,10
109,01231,7
110,01232,2
111,01233,7
112,01300,10
113,01301,10
114,01302,3
115,01303,4
116,01310,10
117,01311,10
118,01312,1
119,01313,10
120,01320,3
121,01321,9
122,01322,3
123,01323,9
124,01330,9
125,01331,4
126,01332,1
127,01333,4
128,02000,9
129,02001,4
130,02002,3
131,02003,11
132,02010,9
133,02011,4
134,02012,4
135,02013,4
136,02020,3
137,02021,11
138,02022,3
139,02023,11
140,02030,11
141,02031,11
142,02032,11
143,02033,11
144,02100,4
145,02101,4
146,02102,4
147,02103,4
148,02110,1
149,02111,1
150,02112,1
151,02113,4
152,02120,5
153,02121,3
154,02122,3
155,02123,3
156,02130,4
157,02131,1
158,02132,1
159,02133,1
160,02200,11
161,02201,11
162,02202,11
163,02203,11
164,02210,11
165,02211,11
166,02212,11
167,02213,11
168,02220,11
169,02221,11
170,02222,11
171,02223,11
172,02230,3
173,02231,11
174,02232,3
175,02233,4
176,02300,11
177,02301,11
178,02302,11
179,02303,11
