,path,ans
0,0000,5
1,0001,1
2,0002,9
3,0003,0
4,0010,0
5,0011,5
6,0012,1
7,0013,10
8,0020,9
9,0021,10
10,0022,8
11,0023,1
12,0030,10
13,0031,10
14,0032,0
15,0033,9
16,0100,0
17,0101,0
18,0102,10
19,0103,1
20,0110,0
21,0111,0
22,0112,1
23,0113,1
24,0120,10
25,0121,10
26,0122,10
27,0123,10
28,0130,0
29,0131,9
30,0132,10
31,0133,1
32,0200,0
33,0201,0
34,0202,0
35,0203,1
36,0210,10
37,0211,0
38,0212,9
39,0213,0
40,0220,0
41,0221,0
42,0222,0
43,0223,0
44,0230,0
45,0231,0
46,0232,0
47,0233,0
48,0300,1
49,0301,1
50,0302,0
51,0303,0
52,0310,1
53,0311,0
54,0312,0
55,0313,0
56,0320,0
57,0321,0
58,0322,0
59,0323,0
60,0330,0
61,0331,0
62,0332,0
63,0333,0
64,1000,1
65,1001,0
66,1002,1
67,1003,0
68,1010,0
69,1011,1
70,1012,0
71,1013,8
72,1020,1
73,1021,1
74,1022,0
75,1023,10
76,1030,0
77,1031,0
78,1032,0
79,1033,0
80,1100,1
81,1101,1
82,1102,1
83,1103,9
84,1110,9
85,1111,1
86,1112,1
87,1113,9
88,1120,1
89,1121,9
90,1122,0
91,1123,1
92,1130,9
93,1131,1
94,1132,10
95,1133,1
96,1200,0
97,1201,0
98,1202,0
99,1203,0
100,1210,0
101,1211,0
102,1212,0
103,1213,0
104,1220,0
105,1221,0
106,1222,0
107,1223,0
108,1230,0
109,1231,0
110,1232,0
111,1233,0
112,1300,0
113,1301,0
114,1302,0
115,1303,0
116,1310,1
117,1311,9
118,1312,0
119,1313,10
120,1320,0
121,1321,0
122,1322,0
123,1323,10
124,1330,1
125,1331,10
126,1332,10
127,1333,10
128,2000,0
129,2001,5
130,2002,0
131,2003,0
132,2010,0
133,2011,0
134,2012,0
135,2013,0
136,2020,0
137,2021,0
138,2022,0
139,2023,0
140,2030,0
141,2031,0
142,2032,0
143,2033,0
144,2100,0
145,2101,0
146,2102,0
147,2103,0
148,2110,0
149,2111,0
150,2112,0
151,2113,0
152,2120,0
153,2121,0
154,2122,0
155,2123,0
156,2130,0
157,2131,0
158,2132,0
159,2133,0
160,2200,0
161,2201,0
162,2202,1
163,2203,0
164,2210,0
165,2211,0
166,2212,0
167,2213,0
168,2220,1
169,2221,0
170,2222,8
171,2223,0
172,2230,0
173,2231,0
174,2232,1
175,2233,0
176,2300,0
177,2301,0
178,2302,0
179,2303,0
180,2310,0
181,2311,0
182,2312,0
183,2313,0
184,2320,0
185,2321,6
186,2322,6
187,2323,0
188,2330,5
189,2331,5
190,2332,6
191,2333,0
192,3000,0
193,3001,0
194,3002,0
195,3003,0
196,3010,0
197,3011,0
198,3012,0
199,3013,0
200,3020,0
201,3021,0
202,3022,0
203,3023,0
204,3030,0
205,3031,0
206,3032,0
207,3033,0
208,3100,11
209,3101,10
210,3102,0
211,3103,0
212,3110,10
213,3111,10
214,3112,10
215,3113,10
216,3120,0
217,3121,0
218,3122,0
219,3123,0
220,3130,0
221,3131,10
222,3132,0
223,3133,10
224,3200,0
225,3201,4
226,3202,0
227,3203,0
228,3210,0
229,3211,0
230,3212,1
231,3213,10
232,3220,0
233,3221,0
234,3222,0
235,3223,0
236,3230,1
237,3231,6
238,3232,0
239,3233,1
240,3300,0
241,3301,10
242,3302,11
243,3303,10
244,3310,10
245,3311,1
246,3312,10
247,3313,10
248,3320,0
249,3321,9
250,3322,10
251,3323,9
252,3330,9
253,3331,10
254,3332,1
255,3333,1
