,path,ans
0,0000,3
1,0001,3
2,0002,3
3,0003,3
4,0010,3
5,0011,3
6,0012,3
7,0013,3
8,0020,3
9,0021,3
10,0022,3
11,0023,3
12,0030,3
13,0031,3
14,0032,3
15,0033,3
16,0100,3
17,0101,3
18,0102,3
19,0103,3
20,0110,4
21,0111,9
22,0112,4
23,0113,3
24,0120,3
25,0121,3
26,0122,3
27,0123,3
28,0130,3
29,0131,3
30,0132,3
31,0133,3
32,0200,3
33,0201,3
34,0202,3
35,0203,3
36,0210,3
37,0211,3
38,0212,3
39,0213,3
40,0220,3
41,0221,3
42,0222,3
43,0223,3
44,0230,3
45,0231,3
46,0232,3
47,0233,3
48,0300,3
49,0301,3
50,0302,3
51,0303,3
52,0310,3
53,0311,3
54,0312,3
55,0313,3
56,0320,3
57,0321,3
58,0322,3
59,0323,3
60,0330,3
61,0331,3
62,0332,3
63,0333,3
64,1000,3
65,1001,3
66,1002,3
67,1003,3
68,1010,3
69,1011,3
70,1012,3
71,1013,5
72,1020,3
73,1021,3
74,1022,3
75,1023,3
76,1030,3
77,1031,3
78,1032,3
79,1033,3
80,1100,3
81,1101,3
82,1102,3
83,1103,3
84,1110,3
85,1111,3
86,1112,3
87,1113,3
88,1120,3
89,1121,3
90,1122,3
91,1123,3
92,1130,3
93,1131,3
94,1132,3
95,1133,3
96,1200,3
97,1201,3
98,1202,3
99,1203,3
100,1210,3
101,1211,3
102,1212,3
103,1213,3
104,1220,4
105,1221,3
106,1222,3
107,1223,3
108,1230,3
109,1231,3
110,1232,3
111,1233,3
112,1300,3
113,1301,3
114,1302,3
115,1303,3
116,1310,3
117,1311,3
118,1312,3
119,1313,3
120,1320,3
121,1321,3
122,1322,3
123,1323,3
124,1330,3
125,1331,3
126,1332,3
127,1333,3
128,2000,3
129,2001,3
130,2002,3
131,2003,3
132,2010,3
133,2011,3
134,2012,3
135,2013,3
136,2020,3
137,2021,3
138,2022,3
139,2023,3
140,2030,3
141,2031,3
142,2032,3
143,2033,3
144,2100,3
145,2101,3
146,2102,3
147,2103,3
148,2110,3
149,2111,3
150,2112,3
151,2113,3
152,2120,3
153,2121,3
154,2122,3
155,2123,3
156,2130,3
157,2131,3
158,2132,3
159,2133,3
160,2200,3
161,2201,3
162,2202,3
163,2203,3
164,2210,3
165,2211,3
166,2212,3
167,2213,3
168,2220,3
169,2221,3
170,2222,3
171,2223,3
172,2230,3
173,2231,3
174,2232,3
175,2233,3
176,2300,3
177,2301,3
178,2302,3
179,2303,3
180,2310,3
181,2311,3
182,2312,3
183,2313,3
184,2320,3
185,2321,3
186,2322,3
187,2323,3
188,2330,3
189,2331,3
190,2332,3
191,2333,3
192,3000,3
193,3001,3
194,3002,3
195,3003,3
196,3010,3
197,3011,3
198,3012,3
199,3013,3
200,3020,3
201,3021,3
202,3022,3
203,3023,3
204,3030,3
205,3031,3
206,3032,3
207,3033,3
208,3100,3
209,3101,3
210,3102,3
211,3103,3
212,3110,3
213,3111,3
214,3112,3
215,3113,3
216,3120,3
217,3121,3
218,3122,3
219,3123,3
220,3130,3
221,3131,3
222,3132,3
223,3133,3
224,3200,3
225,3201,3
226,3202,3
227,3203,3
228,3210,3
229,3211,3
230,3212,3
231,3213,3
232,3220,3
233,3221,3
234,3222,3
235,3223,3
236,3230,3
237,3231,3
238,3232,3
239,3233,3
240,3300,3
241,3301,3
242,3302,3
243,3303,3
244,3310,3
245,3311,3
246,3312,3
247,3313,3
248,3320,3
249,3321,3
250,3322,3
251,3323,3
252,3330,3
253,3331,3
254,3332,3
255,3333,3
