,path,ans
0,0000,9
1,0001,9
2,0002,9
3,0003,9
4,0010,1
5,0011,9
6,0012,8
7,0013,9
8,0020,9
9,0021,9
10,0022,9
11,0023,9
12,0030,9
13,0031,9
14,0032,9
15,0033,9
16,0100,9
17,0101,9
18,0102,9
19,0103,9
20,0110,9
21,0111,9
22,0112,4
23,0113,9
24,0120,9
25,0121,9
26,0122,10
27,0123,9
28,0130,9
29,0131,1
30,0132,1
31,0133,9
32,0200,9
33,0201,9
34,0202,9
35,0203,9
36,0210,1
37,0211,9
38,0212,8
39,0213,9
40,0220,9
41,0221,9
42,0222,1
43,0223,9
44,0230,0
45,0231,9
46,0232,5
47,0233,9
48,0300,9
49,0301,9
50,0302,9
51,0303,9
52,0310,9
53,0311,9
54,0312,9
55,0313,9
56,0320,9
57,0321,9
58,0322,9
59,0323,9
60,0330,9
61,0331,9
62,0332,1
63,0333,9
64,1000,6
65,1001,5
66,1002,9
67,1003,8
68,1010,9
69,1011,3
70,1012,9
71,1013,2
72,1020,9
73,1021,9
74,1022,9
75,1023,1
76,1030,9
77,1031,1
78,1032,8
79,1033,1
80,1100,3
81,1101,3
82,1102,3
83,1103,3
84,1110,3
85,1111,3
86,1112,3
87,1113,3
88,1120,3
89,1121,3
90,1122,3
91,1123,3
92,1130,3
93,1131,3
94,1132,3
95,1133,3
96,1200,9
97,1201,9
98,1202,9
99,1203,4
100,1210,8
101,1211,9
102,1212,8
103,1213,1
104,1220,9
105,1221,9
106,1222,9
107,1223,9
108,1230,5
109,1231,4
110,1232,5
111,1233,3
112,1300,3
113,1301,3
114,1302,3
115,1303,3
116,1310,3
117,1311,3
118,1312,3
119,1313,3
120,1320,3
121,1321,3
122,1322,3
123,1323,9
124,1330,3
125,1331,3
126,1332,9
127,1333,3
128,2000,9
129,2001,8
130,2002,10
131,2003,8
132,2010,8
133,2011,9
134,2012,1
135,2013,9
136,2020,9
137,2021,8
138,2022,9
139,2023,9
140,2030,9
141,2031,10
142,2032,10
143,2033,9
144,2100,9
145,2101,9
146,2102,9
147,2103,9
148,2110,9
149,2111,9
150,2112,9
151,2113,1
152,2120,9
153,2121,9
154,2122,9
155,2123,9
156,2130,1
157,2131,8
158,2132,1
159,2133,4
160,2200,8
161,2201,9
162,2202,9
163,2203,8
164,2210,9
165,2211,9
166,2212,9
167,2213,9
168,2220,9
169,2221,1
170,2222,9
171,2223,1
172,2230,1
173,2231,1
174,2232,1
175,2233,0
176,2300,9
177,2301,4
178,2302,9
179,2303,9
180,2310,6
181,2311,0
182,2312,9
183,2313,9
184,2320,9
185,2321,1
186,2322,5
187,2323,1
188,2330,9
189,2331,9
190,2332,1
191,2333,9
192,3000,9
193,3001,9
194,3002,4
195,3003,9
196,3010,5
197,3011,5
198,3012,4
199,3013,5
200,3020,9
201,3021,9
202,3022,9
203,3023,9
204,3030,4
205,3031,11
206,3032,9
207,3033,3
208,3100,5
209,3101,4
210,3102,3
211,3103,5
212,3110,9
213,3111,9
214,3112,8
215,3113,9
216,3120,9
217,3121,3
218,3122,9
219,3123,9
220,3130,5
221,3131,8
222,3132,4
223,3133,5
224,3200,9
225,3201,9
226,3202,5
227,3203,4
228,3210,9
229,3211,9
230,3212,9
231,3213,9
232,3220,5
233,3221,4
234,3222,9
235,3223,9
236,3230,3
237,3231,9
238,3232,1
239,3233,3
240,3300,9
241,3301,9
242,3302,1
243,3303,3
244,3310,7
245,3311,4
246,3312,1
247,3313,4
248,3320,9
249,3321,3
250,3322,9
251,3323,9
252,3330,9
253,3331,4
254,3332,5
255,3333,9
