,path,ans
0,0000,10
1,0001,9
2,0002,9
3,0003,9
4,0010,8
5,0011,1
6,0012,8
7,0013,9
8,0020,9
9,0021,9
10,0022,9
11,0023,1
12,0030,8
13,0031,9
14,0032,8
15,0033,6
16,0100,6
17,0101,9
18,0102,9
19,0103,9
20,0110,4
21,0111,1
22,0112,3
23,0113,4
24,0120,9
25,0121,9
26,0122,1
27,0123,9
28,0130,1
29,0131,4
30,0132,9
31,0133,1
32,0200,9
33,0201,9
34,0202,9
35,0203,9
36,0210,6
37,0211,9
38,0212,6
39,0213,9
40,0220,5
41,0221,9
42,0222,9
43,0223,9
44,0230,4
45,0231,4
46,0232,4
47,0233,5
48,0300,9
49,0301,4
50,0302,9
51,0303,3
52,0310,3
53,0311,1
54,0312,3
55,0313,1
56,0320,5
57,0321,4
58,0322,7
59,0323,4
60,0330,5
61,0331,9
62,0332,4
63,0333,4
64,1000,1
65,1001,9
66,1002,0
67,1003,4
68,1010,9
69,1011,8
70,1012,4
71,1013,8
72,1020,9
73,1021,10
74,1022,1
75,1023,9
76,1030,0
77,1031,1
78,1032,1
79,1033,9
80,1100,8
81,1101,9
82,1102,8
83,1103,3
84,1110,3
85,1111,3
86,1112,2
87,1113,3
88,1120,9
89,1121,3
90,1122,9
91,1123,9
92,1130,3
93,1131,3
94,1132,3
95,1133,5
96,1200,9
97,1201,9
98,1202,9
99,1203,9
100,1210,9
101,1211,9
102,1212,9
103,1213,9
104,1220,6
105,1221,6
106,1222,6
107,1223,6
108,1230,9
109,1231,9
110,1232,1
111,1233,3
112,1300,9
113,1301,4
114,1302,8
115,1303,5
116,1310,9
117,1311,5
118,1312,4
119,1313,1
120,1320,9
121,1321,3
122,1322,5
123,1323,4
124,1330,3
125,1331,2
126,1332,7
127,1333,7
128,2000,9
129,2001,9
130,2002,9
131,2003,9
132,2010,9
133,2011,9
134,2012,9
135,2013,9
136,2020,9
137,2021,9
138,2022,9
139,2023,9
140,2030,9
141,2031,10
142,2032,1
143,2033,10
144,2100,5
145,2101,5
146,2102,9
147,2103,8
148,2110,5
149,2111,5
150,2112,1
151,2113,9
152,2120,9
153,2121,8
154,2122,10
155,2123,9
156,2130,10
157,2131,9
158,2132,8
159,2133,1
160,2200,9
161,2201,9
162,2202,9
163,2203,9
164,2210,9
165,2211,10
166,2212,9
167,2213,10
168,2220,4
169,2221,9
170,2222,9
171,2223,9
172,2230,9
173,2231,9
174,2232,9
175,2233,1
176,2300,9
177,2301,9
178,2302,9
179,2303,10
180,2310,9
181,2311,5
182,2312,9
183,2313,1
184,2320,9
185,2321,9
186,2322,9
187,2323,1
188,2330,1
189,2331,4
190,2332,4
191,2333,4
192,3000,5
193,3001,1
194,3002,9
195,3003,1
196,3010,3
197,3011,3
198,3012,3
199,3013,5
200,3020,9
201,3021,9
202,3022,9
203,3023,9
204,3030,10
205,3031,9
206,3032,9
207,3033,9
208,3100,1
209,3101,9
210,3102,9
211,3103,9
212,3110,9
213,3111,3
214,3112,3
215,3113,2
216,3120,1
217,3121,9
218,3122,9
219,3123,3
220,3130,5
221,3131,11
222,3132,3
223,3133,11
224,3200,1
225,3201,1
226,3202,5
227,3203,9
228,3210,9
229,3211,1
230,3212,6
231,3213,9
232,3220,4
233,3221,4
234,3222,4
235,3223,4
236,3230,9
237,3231,9
238,3232,1
239,3233,1
240,3300,9
241,3301,3
242,3302,9
243,3303,3
244,3310,3
245,3311,3
246,3312,4
247,3313,3
248,3320,9
249,3321,5
250,3322,3
251,3323,3
252,3330,2
253,3331,3
254,3332,2
255,3333,3
