,path,ans
0,000000,17
1,000001,17
2,000002,17
3,000003,17
4,000010,19
5,000011,17
6,000012,9
7,000013,17
8,000020,6
9,000021,19
10,000022,6
11,000023,17
12,000030,17
13,000031,17
14,000032,17
15,000033,11
16,000100,17
17,000101,19
18,000102,19
19,000103,11
20,000110,11
21,000111,11
22,000112,11
23,000113,11
24,000120,17
25,000121,11
26,000122,11
27,000123,11
28,000130,11
29,000131,11
30,000132,11
31,000133,17
32,000200,19
33,000201,11
34,000202,11
35,000203,11
36,000210,11
37,000211,11
38,000212,11
39,000213,11
40,000220,11
41,000221,10
42,000222,11
43,000223,11
44,000230,11
45,000231,11
46,000232,11
47,000233,11
48,000300,11
49,000301,17
50,000302,11
51,000303,11
52,000310,11
53,000311,11
54,000312,11
55,000313,17
56,000320,11
57,000321,11
58,000322,11
59,000323,11
60,000330,17
61,000331,11
62,000332,11
63,000333,11
64,001000,11
65,001001,11
66,001002,11
67,001003,11
68,001010,17
69,001011,19
70,001012,11
71,001013,19
72,001020,11
73,001021,19
74,001022,11
75,001023,11
76,001030,11
77,001031,11
78,001032,11
79,001033,11
80,001100,17
81,001101,17
82,001102,17
83,001103,17
84,001110,11
85,001111,19
86,001112,11
87,001113,11
88,001120,11
89,001121,11
90,001122,17
91,001123,11
92,001130,10
93,001131,11
94,001132,11
95,001133,11
96,001200,11
97,001201,17
98,001202,11
99,001203,19
100,001210,11
101,001211,11
102,001212,11
103,001213,11
104,001220,11
105,001221,11
106,001222,11
107,001223,11
108,001230,11
109,001231,11
110,001232,11
111,001233,11
112,001300,11
113,001301,11
114,001302,10
115,001303,11
116,001310,11
117,001311,11
118,001312,11
119,001313,11
120,001320,11
121,001321,11
122,001322,11
123,001323,11
124,001330,11
125,001331,11
126,001332,11
127,001333,11
128,002000,11
129,002001,11
130,002002,6
131,002003,11
132,002010,11
133,002011,11
134,002012,17
135,002013,11
136,002020,11
137,002021,6
138,002022,11
139,002023,11
140,002030,11
141,002031,11
142,002032,11
143,002033,11
144,002100,11
145,002101,17
146,002102,11
147,002103,11
148,002110,11
149,002111,11
150,002112,11
151,002113,11
152,002120,11
153,002121,11
154,002122,11
155,002123,11
156,002130,11
157,002131,11
158,002132,11
159,002133,11
160,002200,11
161,002201,11
162,002202,11
163,002203,17
164,002210,11
165,002211,17
166,002212,17
167,002213,11
168,002220,19
169,002221,17
170,002222,11
171,002223,11
172,002230,9
173,002231,15
174,002232,15
175,002233,15
176,002300,11
177,002301,11
178,002302,11
179,002303,11
180,002310,11
181,002311,11
182,002312,11
183,002313,11
184,002320,15
185,002321,15
186,002322,15
187,002323,15
188,002330,11
189,002331,11
190,002332,11
191,002333,17
192,003000,17
193,003001,11
194,003002,11
195,003003,11
196,003010,11
197,003011,11
198,003012,11
199,003013,11
200,003020,6
201,003021,19
202,003022,11
203,003023,19
204,003030,11
205,003031,11
206,003032,11
207,003033,11
208,003100,11
209,003101,11
210,003102,11
211,003103,19
212,003110,11
213,003111,19
214,003112,11
215,003113,11
216,003120,11
217,003121,11
218,003122,11
219,003123,11
220,003130,11
221,003131,11
222,003132,11
223,003133,11
224,003200,11
225,003201,11
226,003202,11
227,003203,11
228,003210,19
229,003211,19
230,003212,11
231,003213,11
232,003220,11
233,003221,11
234,003222,11
235,003223,6
236,003230,11
237,003231,11
238,003232,11
239,003233,11
240,003300,11
241,003301,19
242,003302,10
243,003303,10
244,003310,11
245,003311,11
246,003312,6
247,003313,11
248,003320,6
249,003321,10
250,003322,11
251,003323,11
252,003330,10
253,003331,6
254,003332,10
255,003333,10
256,010000,17
257,010001,17
258,010002,11
259,010003,11
260,010010,17
261,010011,11
262,010012,17
263,010013,19
264,010020,12
265,010021,17
266,010022,11
267,010023,11
268,010030,17
269,010031,11
270,010032,17
271,010033,17
272,010100,17
273,010101,11
274,010102,11
275,010103,11
276,010110,19
277,010111,19
278,010112,19
279,010113,16
280,010120,11
281,010121,17
282,010122,17
283,010123,11
284,010130,17
285,010131,19
286,010132,11
287,010133,11
288,010200,11
289,010201,11
290,010202,11
291,010203,17
292,010210,11
293,010211,11
294,010212,17
295,010213,19
296,010220,11
297,010221,11
298,010222,6
299,010223,11
300,010230,11
301,010231,11
302,010232,11
303,010233,11
304,010300,17
305,010301,19
306,010302,11
307,010303,11
308,010310,11
309,010311,11
310,010312,17
311,010313,17
312,010320,11
313,010321,11
314,010322,11
315,010323,11
316,010330,11
317,010331,11
318,010332,11
319,010333,17
320,011000,4
321,011001,11
322,011002,19
323,011003,17
324,011010,11
325,011011,11
326,011012,17
327,011013,11
328,011020,11
329,011021,11
330,011022,11
331,011023,11
332,011030,17
333,011031,17
334,011032,17
335,011033,19
336,011100,6
337,011101,19
338,011102,17
339,011103,19
340,011110,11
341,011111,11
342,011112,11
343,011113,11
344,011120,17
345,011121,11
346,011122,11
347,011123,11
348,011130,11
349,011131,11
350,011132,11
351,011133,11
352,011200,19
353,011201,17
354,011202,17
355,011203,11
356,011210,11
357,011211,11
358,011212,11
359,011213,19
360,011220,11
361,011221,19
362,011222,11
363,011223,17
364,011230,19
365,011231,11
366,011232,17
367,011233,19
368,011300,11
369,011301,11
370,011302,11
371,011303,11
372,011310,11
373,011311,11
374,011312,11
375,011313,11
376,011320,11
377,011321,11
378,011322,11
379,011323,11
380,011330,11
381,011331,19
382,011332,10
383,011333,17
384,012000,11
385,012001,11
386,012002,11
387,012003,11
388,012010,10
389,012011,11
390,012012,11
391,012013,19
392,012020,11
393,012021,17
394,012022,11
395,012023,17
396,012030,19
397,012031,11
398,012032,11
399,012033,11
400,012100,17
401,012101,19
402,012102,17
403,012103,17
404,012110,11
405,012111,17
406,012112,17
407,012113,11
408,012120,17
409,012121,17
410,012122,19
411,012123,19
412,012130,17
413,012131,17
414,012132,17
415,012133,11
416,012200,19
417,012201,17
418,012202,19
419,012203,17
420,012210,11
421,012211,11
422,012212,11
423,012213,11
424,012220,11
425,012221,11
426,012222,19
427,012223,11
428,012230,11
429,012231,11
430,012232,11
431,012233,11
432,012300,11
433,012301,19
434,012302,11
435,012303,17
436,012310,11
437,012311,11
438,012312,19
439,012313,19
440,012320,11
441,012321,11
442,012322,11
443,012323,11
444,012330,11
445,012331,17
446,012332,17
447,012333,17
448,013000,11
449,013001,11
450,013002,11
451,013003,11
452,013010,19
453,013011,11
454,013012,17
455,013013,11
456,013020,11
457,013021,11
458,013022,17
459,013023,11
460,013030,11
461,013031,11
462,013032,11
463,013033,11
464,013100,11
465,013101,17
466,013102,11
467,013103,19
468,013110,11
469,013111,11
470,013112,11
471,013113,17
472,013120,19
473,013121,11
474,013122,19
475,013123,11
476,013130,11
477,013131,11
478,013132,6
479,013133,11
480,013200,11
481,013201,11
482,013202,11
483,013203,11
484,013210,11
485,013211,11
486,013212,11
487,013213,11
488,013220,11
489,013221,11
490,013222,11
491,013223,11
492,013230,11
493,013231,19
494,013232,11
495,013233,11
496,013300,11
497,013301,11
498,013302,11
499,013303,19
500,013310,17
501,013311,11
502,013312,11
503,013313,11
504,013320,19
505,013321,19
506,013322,11
507,013323,11
508,013330,11
509,013331,11
510,013332,11
511,013333,17
512,020000,11
513,020001,11
514,020002,19
515,020003,11
516,020010,11
517,020011,15
518,020012,17
519,020013,19
520,020020,19
521,020021,17
522,020022,17
523,020023,17
524,020030,11
525,020031,17
526,020032,17
527,020033,11
528,020100,17
529,020101,17
530,020102,17
531,020103,11
532,020110,11
533,020111,6
534,020112,11
535,020113,11
536,020120,17
537,020121,17
538,020122,11
539,020123,11
540,020130,17
541,020131,19
542,020132,19
543,020133,19
544,020200,11
545,020201,17
546,020202,17
547,020203,17
548,020210,17
549,020211,11
550,020212,11
551,020213,11
552,020220,17
553,020221,17
554,020222,11
555,020223,19
556,020230,11
557,020231,17
558,020232,17
559,020233,17
560,020300,11
561,020301,17
562,020302,11
563,020303,11
564,020310,19
565,020311,11
566,020312,11
567,020313,19
568,020320,19
569,020321,10
570,020322,11
571,020323,11
572,020330,11
573,020331,17
574,020332,11
575,020333,11
576,021000,11
577,021001,11
578,021002,11
579,021003,11
580,021010,11
581,021011,11
582,021012,11
583,021013,11
584,021020,11
585,021021,11
586,021022,11
587,021023,19
588,021030,17
589,021031,19
590,021032,10
591,021033,19
592,021100,6
593,021101,11
594,021102,11
595,021103,11
596,021110,6
597,021111,11
598,021112,11
599,021113,11
600,021120,17
601,021121,17
602,021122,19
603,021123,19
604,021130,11
605,021131,11
606,021132,19
607,021133,11
608,021200,19
609,021201,19
610,021202,17
611,021203,19
612,021210,10
613,021211,11
614,021212,11
615,021213,11
616,021220,19
617,021221,19
618,021222,17
619,021223,19
620,021230,11
621,021231,17
622,021232,11
623,021233,11
624,021300,17
625,021301,17
626,021302,17
627,021303,9
628,021310,2
629,021311,19
630,021312,19
631,021313,10
632,021320,19
633,021321,16
634,021322,11
635,021323,19
636,021330,19
637,021331,19
638,021332,4
639,021333,10
640,022000,11
641,022001,17
642,022002,10
643,022003,11
644,022010,17
645,022011,17
646,022012,19
647,022013,17
648,022020,17
649,022021,17
650,022022,11
651,022023,11
652,022030,11
653,022031,15
654,022032,17
655,022033,17
656,022100,17
657,022101,17
658,022102,9
659,022103,17
660,022110,17
661,022111,11
662,022112,11
663,022113,17
664,022120,11
665,022121,11
666,022122,11
667,022123,17
668,022130,10
669,022131,17
670,022132,11
671,022133,19
672,022200,9
673,022201,9
674,022202,15
675,022203,15
676,022210,11
677,022211,11
678,022212,15
679,022213,11
680,022220,17
681,022221,17
682,022222,10
683,022223,11
684,022230,9
685,022231,9
686,022232,19
687,022233,11
688,022300,18
689,022301,10
690,022302,9
691,022303,10
692,022310,11
693,022311,17
694,022312,11
695,022313,17
696,022320,9
697,022321,17
698,022322,19
699,022323,19
700,022330,11
701,022331,10
702,022332,11
703,022333,17
704,023000,11
705,023001,11
706,023002,19
707,023003,17
708,023010,11
709,023011,17
710,023012,17
711,023013,11
712,023020,11
713,023021,19
714,023022,17
715,023023,19
716,023030,17
717,023031,17
718,023032,11
719,023033,17
720,023100,10
721,023101,11
722,023102,19
723,023103,17
724,023110,19
725,023111,19
726,023112,11
727,023113,11
728,023120,17
729,023121,11
730,023122,11
731,023123,17
732,023130,11
733,023131,17
734,023132,19
735,023133,19
736,023200,11
737,023201,15
738,023202,11
739,023203,11
740,023210,19
741,023211,11
742,023212,19
743,023213,11
744,023220,17
745,023221,6
746,023222,11
747,023223,19
748,023230,19
749,023231,19
750,023232,17
751,023233,11
752,023300,11
753,023301,17
754,023302,11
755,023303,17
756,023310,11
757,023311,19
758,023312,17
759,023313,17
760,023320,17
761,023321,17
762,023322,17
763,023323,17
764,023330,11
765,023331,9
766,023332,19
767,023333,19
768,030000,11
769,030001,10
770,030002,11
771,030003,11
772,030010,11
773,030011,11
774,030012,19
775,030013,10
776,030020,17
777,030021,11
778,030022,11
779,030023,11
780,030030,17
781,030031,11
782,030032,17
783,030033,11
784,030100,11
785,030101,11
786,030102,11
787,030103,19
788,030110,11
789,030111,11
790,030112,11
791,030113,11
