,path,ans
0,0000,3
1,0001,4
2,0002,1
3,0003,3
4,0010,3
5,0011,3
6,0012,3
7,0013,3
8,0020,3
9,0021,3
10,0022,3
11,0023,11
12,0030,3
13,0031,3
14,0032,3
15,0033,3
16,0100,3
17,0101,3
18,0102,3
19,0103,3
20,0110,9
21,0111,9
22,0112,9
23,0113,9
24,0120,3
25,0121,11
26,0122,3
27,0123,3
28,0130,5
29,0131,9
30,0132,5
31,0133,9
32,0200,3
33,0201,3
34,0202,11
35,0203,3
36,0210,3
37,0211,3
38,0212,3
39,0213,3
40,0220,11
41,0221,3
42,0222,11
43,0223,11
44,0230,3
45,0231,3
46,0232,3
47,0233,3
48,0300,3
49,0301,3
50,0302,3
51,0303,3
52,0310,5
53,0311,6
54,0312,3
55,0313,5
56,0320,3
57,0321,3
58,0322,3
59,0323,3
60,0330,3
61,0331,3
62,0332,3
63,0333,3
64,1000,9
65,1001,9
66,1002,9
67,1003,4
68,1010,9
69,1011,9
70,1012,5
71,1013,1
72,1020,9
73,1021,4
74,1022,4
75,1023,4
76,1030,5
77,1031,5
78,1032,5
79,1033,8
80,1100,9
81,1101,9
82,1102,9
83,1103,4
84,1110,9
85,1111,9
86,1112,9
87,1113,9
88,1120,1
89,1121,9
90,1122,8
91,1123,5
92,1130,9
93,1131,9
94,1132,9
95,1133,9
96,1200,9
97,1201,5
98,1202,9
99,1203,9
100,1210,6
101,1211,6
102,1212,5
103,1213,6
104,1220,3
105,1221,5
106,1222,3
107,1223,4
108,1230,9
109,1231,0
110,1232,1
111,1233,5
112,1300,0
113,1301,5
114,1302,5
115,1303,8
116,1310,5
117,1311,1
118,1312,4
119,1313,4
120,1320,0
121,1321,0
122,1322,5
123,1323,5
124,1330,5
125,1331,5
126,1332,5
127,1333,1
128,2000,11
129,2001,11
130,2002,11
131,2003,11
132,2010,3
133,2011,3
134,2012,11
135,2013,3
136,2020,11
137,2021,11
138,2022,11
139,2023,11
140,2030,11
141,2031,11
142,2032,11
143,2033,11
144,2100,3
145,2101,3
146,2102,3
147,2103,3
148,2110,3
149,2111,3
150,2112,9
151,2113,3
152,2120,3
153,2121,3
154,2122,3
155,2123,3
156,2130,3
157,2131,3
158,2132,4
159,2133,3
160,2200,11
161,2201,11
162,2202,11
163,2203,11
164,2210,11
165,2211,11
166,2212,11
167,2213,11
168,2220,11
169,2221,11
170,2222,11
171,2223,11
172,2230,11
173,2231,11
174,2232,11
175,2233,11
176,2300,3
177,2301,11
178,2302,3
179,2303,11
180,2310,11
181,2311,3
182,2312,4
183,2313,4
184,2320,3
185,2321,3
186,2322,11
187,2323,3
188,2330,11
189,2331,11
190,2332,11
191,2333,4
192,3000,3
193,3001,3
194,3002,3
195,3003,3
196,3010,5
197,3011,4
198,3012,3
199,3013,5
200,3020,3
201,3021,3
202,3022,3
203,3023,3
204,3030,3
205,3031,5
206,3032,3
207,3033,5
208,3100,1
209,3101,5
210,3102,3
211,3103,7
212,3110,9
213,3111,10
214,3112,4
215,3113,9
216,3120,3
217,3121,3
218,3122,9
219,3123,4
220,3130,4
221,3131,4
222,3132,4
223,3133,4
224,3200,3
225,3201,3
226,3202,3
227,3203,3
228,3210,3
229,3211,1
230,3212,5
231,3213,9
232,3220,11
233,3221,3
234,3222,2
235,3223,3
236,3230,3
237,3231,1
238,3232,3
239,3233,1
240,3300,9
241,3301,9
242,3302,9
243,3303,9
244,3310,9
245,3311,1
246,3312,9
247,3313,1
248,3320,9
249,3321,9
250,3322,9
251,3323,9
252,3330,10
253,3331,9
254,3332,10
255,3333,9
