,path,ans
0,0000,0
1,0001,8
2,0002,8
3,0003,8
4,0010,10
5,0011,9
6,0012,10
7,0013,9
8,0020,8
9,0021,10
10,0022,10
11,0023,10
12,0030,10
13,0031,9
14,0032,10
15,0033,9
16,0100,9
17,0101,9
18,0102,9
19,0103,9
20,0110,1
21,0111,1
22,0112,9
23,0113,9
24,0120,9
25,0121,9
26,0122,9
27,0123,9
28,0130,9
29,0131,1
30,0132,1
31,0133,1
32,0200,8
33,0201,10
34,0202,1
35,0203,8
36,0210,10
37,0211,10
38,0212,0
39,0213,1
40,0220,10
41,0221,8
42,0222,10
43,0223,8
44,0230,0
45,0231,4
46,0232,4
47,0233,5
48,0300,9
49,0301,9
50,0302,1
51,0303,9
52,0310,1
53,0311,9
54,0312,9
55,0313,9
56,0320,1
57,0321,0
58,0322,5
59,0323,4
60,0330,1
61,0331,1
62,0332,9
63,0333,1
64,1000,9
65,1001,9
66,1002,9
67,1003,1
68,1010,1
69,1011,4
70,1012,9
71,1013,1
72,1020,9
73,1021,1
74,1022,9
75,1023,1
76,1030,9
77,1031,1
78,1032,9
79,1033,1
80,1100,11
81,1101,10
82,1102,5
83,1103,5
84,1110,5
85,1111,1
86,1112,5
87,1113,1
88,1120,4
89,1121,11
90,1122,11
91,1123,11
92,1130,11
93,1131,5
94,1132,11
95,1133,11
96,1200,9
97,1201,9
98,1202,1
99,1203,9
100,1210,9
101,1211,1
102,1212,1
103,1213,11
104,1220,0
105,1221,1
106,1222,4
107,1223,11
108,1230,11
109,1231,3
110,1232,11
111,1233,11
112,1300,11
113,1301,3
114,1302,3
115,1303,11
116,1310,11
117,1311,11
118,1312,11
119,1313,11
120,1320,11
121,1321,11
122,1322,4
123,1323,5
124,1330,11
125,1331,11
126,1332,5
127,1333,4
128,2000,5
129,2001,5
130,2002,5
131,2003,11
132,2010,5
133,2011,4
134,2012,8
135,2013,5
136,2020,4
137,2021,1
138,2022,9
139,2023,9
140,2030,8
141,2031,11
142,2032,9
143,2033,5
144,2100,3
145,2101,11
146,2102,3
147,2103,3
148,2110,5
149,2111,4
150,2112,3
151,2113,5
152,2120,3
153,2121,3
154,2122,5
155,2123,3
156,2130,3
157,2131,4
158,2132,3
159,2133,4
160,2200,9
161,2201,9
162,2202,9
163,2203,0
164,2210,1
165,2211,5
166,2212,10
167,2213,10
168,2220,10
169,2221,10
170,2222,1
171,2223,9
172,2230,10
173,2231,9
174,2232,9
175,2233,9
176,2300,5
177,2301,4
178,2302,8
179,2303,10
180,2310,0
181,2311,10
182,2312,10
183,2313,10
184,2320,8
185,2321,9
186,2322,8
187,2323,8
188,2330,10
189,2331,10
190,2332,9
191,2333,10
192,3000,4
193,3001,11
194,3002,11
195,3003,3
196,3010,11
197,3011,11
198,3012,11
199,3013,4
200,3020,5
201,3021,4
202,3022,5
203,3023,9
204,3030,9
205,3031,10
206,3032,10
207,3033,10
208,3100,10
209,3101,1
210,3102,10
211,3103,0
212,3110,9
213,3111,10
214,3112,1
215,3113,9
216,3120,1
217,3121,1
218,3122,10
219,3123,10
220,3130,9
221,3131,10
222,3132,10
223,3133,10
224,3200,10
225,3201,10
226,3202,10
227,3203,10
228,3210,10
229,3211,10
230,3212,10
231,3213,10
232,3220,10
233,3221,10
234,3222,10
235,3223,10
236,3230,10
237,3231,10
238,3232,10
239,3233,10
240,3300,10
241,3301,10
242,3302,10
243,3303,10
244,3310,1
245,3311,10
246,3312,10
247,3313,10
248,3320,10
249,3321,10
250,3322,10
251,3323,10
252,3330,9
253,3331,10
254,3332,10
255,3333,10
