,path,ans
0,00000,5
1,00001,8
2,00002,1
3,00003,1
4,00010,9
5,00011,9
6,00012,9
7,00013,9
8,00020,1
9,00021,1
10,00022,1
11,00023,9
12,00030,6
13,00031,5
14,00032,9
15,00033,9
16,00100,9
17,00101,9
18,00102,9
19,00103,9
20,00110,9
21,00111,9
22,00112,1
23,00113,9
24,00120,6
25,00121,9
26,00122,9
27,00123,9
28,00130,9
29,00131,9
30,00132,7
31,00133,5
32,00200,2
33,00201,4
34,00202,3
35,00203,2
36,00210,3
37,00211,1
38,00212,3
39,00213,7
40,00220,5
41,00221,2
42,00222,11
43,00223,3
44,00230,3
45,00231,7
46,00232,2
47,00233,9
48,00300,5
49,00301,9
50,00302,5
51,00303,1
52,00310,5
53,00311,7
54,00312,1
55,00313,3
56,00320,7
57,00321,3
58,00322,4
59,00323,9
60,00330,5
61,00331,1
62,00332,4
63,00333,10
64,01000,9
65,01001,5
66,01002,5
67,01003,9
68,01010,9
69,01011,10
70,01012,9
71,01013,9
72,01020,1
73,01021,1
74,01022,0
75,01023,9
76,01030,1
77,01031,1
78,01032,6
79,01033,9
80,01100,9
81,01101,7
82,01102,9
83,01103,5
84,01110,11
85,01111,11
86,01112,11
87,01113,11
88,01120,9
89,01121,4
90,01122,4
91,01123,1
92,01130,11
93,01131,11
94,01132,1
95,01133,11
96,01200,7
97,01201,8
98,01202,9
99,01203,1
100,01210,6
101,01211,6
102,01212,1
103,01213,5
104,01220,1
105,01221,4
106,01222,1
107,01223,9
108,01230,1
109,01231,1
110,01232,2
111,01233,6
112,01300,1
113,01301,6
114,01302,1
115,01303,1
116,01310,5
117,01311,11
118,01312,9
119,01313,11
120,01320,6
121,01321,8
122,01322,8
123,01323,1
124,01330,1
125,01331,1
126,01332,1
127,01333,0
128,02000,2
129,02001,3
130,02002,3
131,02003,11
132,02010,3
133,02011,7
134,02012,3
135,02013,3
136,02020,4
137,02021,3
138,02022,2
139,02023,4
140,02030,2
141,02031,9
142,02032,2
143,02033,9
144,02100,9
145,02101,9
146,02102,7
147,02103,9
148,02110,4
149,02111,10
150,02112,4
151,02113,1
152,02120,9
153,02121,9
154,02122,9
155,02123,9
156,02130,9
157,02131,9
158,02132,9
159,02133,9
160,02200,9
161,02201,2
162,02202,4
163,02203,9
164,02210,4
165,02211,2
166,02212,11
167,02213,4
168,02220,2
169,02221,2
170,02222,3
171,02223,3
172,02230,4
173,02231,3
174,02232,11
175,02233,3
176,02300,4
177,02301,9
178,02302,6
179,02303,10
180,02310,9
181,02311,9
182,02312,9
183,02313,9
184,02320,4
185,02321,6
186,02322,3
187,02323,4
188,02330,9
189,02331,4
190,02332,4
191,02333,5
192,03000,1
193,03001,1
194,03002,9
195,03003,5
196,03010,1
197,03011,9
198,03012,9
199,03013,1
200,03020,9
201,03021,10
202,03022,9
203,03023,1
204,03030,1
205,03031,1
206,03032,9
207,03033,5
208,03100,1
209,03101,9
210,03102,1
211,03103,1
212,03110,5
213,03111,9
214,03112,1
215,03113,9
216,03120,10
217,03121,0
218,03122,4
219,03123,4
220,03130,8
221,03131,8
222,03132,4
223,03133,8
224,03200,9
225,03201,9
226,03202,9
227,03203,9
228,03210,9
229,03211,9
230,03212,4
231,03213,9
232,03220,4
233,03221,9
234,03222,9
235,03223,7
236,03230,7
237,03231,4
238,03232,4
239,03233,7
240,03300,9
241,03301,9
242,03302,9
243,03303,9
244,03310,9
245,03311,9
246,03312,5
247,03313,1
248,03320,9
249,03321,8
250,03322,7
251,03323,3
252,03330,4
253,03331,1
254,03332,9
255,03333,1
256,10000,11
257,10001,3
258,10002,11
259,10003,3
260,10010,4
261,10011,4
262,10012,3
263,10013,4
264,10020,11
265,10021,5
266,10022,11
267,10023,2
268,10030,3
269,10031,4
270,10032,4
271,10033,5
272,10100,4
273,10101,9
274,10102,6
275,10103,4
276,10110,9
277,10111,9
278,10112,9
279,10113,9
280,10120,6
281,10121,4
282,10122,4
283,10123,6
284,10130,7
285,10131,4
286,10132,3
287,10133,7
288,10200,11
289,10201,3
290,10202,11
291,10203,11
292,10210,9
293,10211,4
294,10212,11
295,10213,3
296,10220,11
297,10221,11
298,10222,2
299,10223,11
300,10230,11
301,10231,3
302,10232,11
303,10233,11
304,10300,7
305,10301,9
306,10302,7
